year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2005,Nissan,Sentra,1.8 S,UNKNOWN,Georgia,118550.0,black,beige,credit acceptance corp/vrs/southfield,3000.0
2006,Dodge,Ram Pickup 1500,SLT,automatic,Georgia,179095.0,white,gray,crown nissan greenville,3100.0
2012,Ford,F-350 Super Duty,XLT,automatic,Georgia,147915.0,white,beige,fleet street remarketing llc,17700.0
2011,Chevrolet,Camaro,LS,manual,Georgia,27104.0,silver,black,remarketing by ge/summit financial corp,14000.0
2012,Ford,Fusion,SEL,automatic,Georgia,28059.0,red,black,jim ellis,14000.0
2010,Dodge,Avenger,Express,automatic,Georgia,89244.0,red,black,innovative auto llc,7300.0
2013,Chevrolet,Equinox,LS,automatic,Georgia,59208.0,black,black,ge fleet services for itself/servicer,13200.0
2013,Ford,F-150,XLT,automatic,Georgia,63235.0,black,gray,ford motor credit company llc pd,23500.0
2008,BMW,3 Series,328i,automatic,Georgia,127195.0,silver,black,arc financial,6100.0
2011,Ford,Explorer,XLT,automatic,Georgia,64651.0,blue,gray,ford-lincoln dealer program,21300.0
2014,Ford,E-Series Van,E-250,automatic,Georgia,12016.0,white,gray,u-haul,19200.0
2004,Nissan,Maxima,3.5 SL,automatic,Georgia,91939.0,gold,tan,carworks inc,6000.0
2015,Chevrolet,Spark,1LT,automatic,Georgia,6017.0,red,black,hertz/tra,6700.0
2013,Lincoln,MKX,Base,automatic,Georgia,24833.0,white,gray,ford motor credit company llc pd,30100.0
2012,Dodge,Charger,SE,automatic,Georgia,70799.0,black,black,onesource/savannah toyota scion,12900.0
2007,Ford,Focus,ZX4 SE,automatic,Georgia,100340.0,red,beige,chrysler capital,3200.0
2011,Buick,LaCrosse,CXL,automatic,Georgia,127723.0,black,tan,jpmorgan chase bank n.a.,8300.0
2008,Volkswagen,New Beetle,S,automatic,Georgia,77754.0,silver,gray,five star dodge,5300.0
1999,Dodge,Durango,SLT,automatic,Georgia,298540.0,black,black,five star dodge,700.0
2014,Toyota,Camry,SE,automatic,Georgia,11073.0,silver,black,toyota motor sales usa inc/program,17400.0
2012,Mercedes-Benz,C-Class,C250 Sport,UNKNOWN,Georgia,21098.0,UNKNOWN,UNKNOWN,mercedes-benz financial services,20000.0
2008,BMW,7 Series,750Li,automatic,Georgia,82147.0,white,tan,financial services remarketing (lease),16800.0
2006,BMW,7 Series,750i,automatic,Georgia,115442.0,silver,gray,consolidated asset recovery systems  inc.,6300.0
2014,Hyundai,Santa Fe Sport,Sport 2.0T,automatic,Georgia,10.0,white,beige,hyundai motor america/co car,27900.0
2015,Kia,Soul,+,automatic,Georgia,21614.0,brown,black,kia motors america  inc,13800.0
2013,Chevrolet,Silverado 1500,LT,automatic,Georgia,38570.0,red,black,kern automotive group inc,34800.0
2012,Chevrolet,Cruze,LS,automatic,Georgia,57996.0,blue,gray,gm financial,8800.0
2012,Toyota,Camry,LE,automatic,Georgia,15829.0,gold,beige,capital one auto finance,12900.0
2009,Land Rover,Range Rover Sport,HSE,automatic,Georgia,55855.0,silver,black,bank of america,18800.0
2008,Dodge,Grand Caravan,SXT,automatic,Georgia,172671.0,silver,black,fleet street remarketing (heavy),2200.0
2003,Chevrolet,Blazer,LS,automatic,Georgia,94332.0,beige,black,ari,2600.0
2007,BMW,5 Series,550i,automatic,Georgia,72323.0,gray,black,jim ellis,11500.0
2014,Ford,Fusion,SE,UNKNOWN,Georgia,22242.0,gray,gray,ford motor credit company llc,14000.0
2013,Ford,F-150,XLT,automatic,Georgia,18118.0,blue,beige,ford motor credit company llc,29400.0
2014,Ford,Explorer,Limited,automatic,Georgia,21581.0,silver,gray,ars/enterprise,28900.0
2013,Infiniti,G Coupe,G37 Sport,automatic,Georgia,16842.0,gray,black,nissan infiniti lt,23800.0
2015,Nissan,Versa Note,1.6 SV,automatic,Georgia,3366.0,—,black,nissan motor acceptance corporation,11800.0
2000,Saturn,S-Series,SC2,automatic,Georgia,131952.0,blue,gray,purple heart,400.0
2011,Ford,Expedition,EL King Ranch,automatic,Georgia,68279.0,white,beige,gm financial,18000.0
2011,Toyota,Camry,LE,automatic,Georgia,79487.0,black,beige,mcdonald auto sales & leasing,10800.0
2003,Chevrolet,Impala,Base,automatic,Georgia,177507.0,silver,gray,nextgear capital,900.0
2013,Mercedes-Benz,GL-Class,GL450 4MATIC,automatic,Georgia,40479.0,blue,black,the hertz corporation,39400.0
2011,Toyota,Corolla,S,automatic,Georgia,78784.0,gray,black,world omni financial corporation,7800.0
2012,Nissan,Altima,2.5 S,automatic,Georgia,28398.0,gray,beige,nissan-infiniti lt,11800.0
2006,BMW,3 Series,330i,UNKNOWN,Georgia,96229.0,gray,gray,young motors llc,9900.0
2010,Hyundai,Sonata,GLS,automatic,Georgia,99955.0,silver,gray,tdaf remarketing,5200.0
2012,Toyota,Tacoma,PreRunner V6,automatic,Georgia,51572.0,silver,gray,wells fargo dealer services,22600.0
2008,Chevrolet,Tahoe,LT,automatic,Georgia,132433.0,black,black,hayes chrysler dodge jeep inc,14800.0
2013,Nissan,Rogue,SV,automatic,Georgia,20273.0,silver,gray,carworks inc,13800.0
2012,Ford,Escape,Limited,automatic,Georgia,26185.0,blue,black,ford motor credit company llc pd,17300.0
2008,MINI,Cooper,Base,automatic,Georgia,73569.0,red,black,ashwini k bahl,6700.0
2012,Lincoln,MKT,Base,automatic,Georgia,62512.0,white,beige,centerpoint auto exchange llc,22800.0
2013,Nissan,Versa,1.6 S Plus,automatic,Georgia,41474.0,silver,beige,merchants automotive group,9400.0
2009,Chevrolet,Equinox,LT,automatic,Georgia,61354.0,red,silver,innovative auto llc,9400.0
2012,Nissan,Altima,2.5 S,automatic,Georgia,58216.0,silver,black,bmw alphera/alphera financial services,10000.0
2006,BMW,X5,3.0i,automatic,Georgia,145865.0,gray,black,nalley acura,7000.0
