year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2008,Infiniti,G35,Sport,automatic,Florida,100656.0,gray,gray,lokey motor company,11800.0
2010,Toyota,Highlander,Base,automatic,Florida,67885.0,gray,gray,sullivan auto group llc,15800.0
2013,Hyundai,Sonata,GLS,automatic,Florida,24799.0,silver,gray,merchants leasing,12600.0
2010,Honda,Odyssey,EX-L,automatic,Florida,98103.0,white,beige,hendrick honda daytona,12000.0
2012,Nissan,Sentra,2.0 SL,UNKNOWN,Florida,33818.0,black,black,gm financial,12100.0
2013,Chevrolet,Cruze,1LT,automatic,Florida,53563.0,silver,black,chrysler capital,9600.0
2011,Honda,CR-V,EX,automatic,Florida,27978.0,white,gray,karl flammer ford inc,15400.0
2013,Lexus,RX 350,Base,automatic,Florida,31174.0,gray,gray,lexus financial services,29000.0
2004,Hyundai,Santa Fe,GLS,automatic,Florida,72829.0,silver,gray,pra receivables management llc,1100.0
2007,Chrysler,Sebring,Base,automatic,Florida,121063.0,blue,gray,courtesy toyota of brandon,1200.0
2006,Nissan,Frontier,SE,UNKNOWN,Florida,106845.0,silver,gray,remarketing by ge/campus auto retail service,8700.0
2012,Kia,Optima,EX,automatic,Florida,41287.0,gray,gray,zimmerman auto brokers inc,13400.0
2003,GMC,Yukon XL,1500 SLE,automatic,Florida,153548.0,gray,gray,remarketing of america,2700.0
2009,BMW,3 Series,328i,automatic,Florida,77288.0,black,tan,sam galloway ford lincoln,10200.0
2013,Subaru,Outback,2.5i Premium PZEV,automatic,Florida,15854.0,red,black,jpmorgan chase bank n.a.,21200.0
2013,Hyundai,Elantra,GLS,UNKNOWN,Florida,30255.0,beige,tan,southeastern car & truck rental,11000.0
2003,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Florida,171300.0,white,beige,westfall auto sales,13900.0
2013,Chevrolet,Malibu,LTZ,automatic,Florida,51265.0,gray,black,the hertz corporation/gm,12800.0
2014,Nissan,Altima,2.5 S,automatic,Florida,1398.0,red,beige,nissan-infiniti lt,17400.0
2012,Mercedes-Benz,C-Class,C250 Sport,automatic,Florida,17726.0,white,beige,mercedes-benz financial services,19400.0
2009,Lexus,ES 350,Base,automatic,Florida,36262.0,silver,gray,lexus financial services,16500.0
2011,Chevrolet,HHR,LS,automatic,Florida,43516.0,white,gray,santander consumer,7600.0
2015,Volvo,S60,T5 Drive-E,automatic,Florida,13587.0,white,tan,volvo na rep/world omni,22900.0
2005,Nissan,Altima,2.5 S,automatic,Florida,122480.0,white,black,automotive credit corp,2500.0
2000,Mitsubishi,Montero Sport,LS,automatic,Florida,207541.0,white,beige,coconut creek auto mall,1700.0
2002,Mercury,Grand Marquis,GS,UNKNOWN,Florida,116202.0,burgundy,beige,credit acceptance corp/vrs/southfield,1900.0
2007,Toyota,FJ Cruiser,Base,automatic,Florida,58833.0,burgundy,—,capital one auto finance,13000.0
2014,Ford,Fusion,SE,automatic,Florida,18295.0,—,black,avis budget group,17400.0
2007,Ford,Explorer Sport Trac,Limited,automatic,Florida,96658.0,black,black,regional acceptance corporation / greenville,10100.0
2012,Lexus,ES 350,Base,automatic,Florida,18434.0,silver,gray,lexus financial services,23000.0
2001,BMW,3 Series,325i,automatic,Florida,156530.0,blue,—,tropical chevrolet,1500.0
1997,Honda,Civic,LX,automatic,Florida,209495.0,green,beige,autonation honda miami lakes,800.0
2013,Hyundai,Veloster,Base,automatic,Florida,9077.0,yellow,black,hyundai motor finance,15100.0
2005,Ford,Escape,XLT Sport,automatic,Florida,162160.0,green,beige,starling chevrolet buick gmc,2100.0
2012,Honda,CR-V,EX-L,automatic,Florida,124399.0,black,black,westfall auto sales,16500.0
2014,Volvo,XC60,3.2,automatic,Florida,36098.0,black,black,ez rent a car inc,23900.0
2013,Kia,Optima,SX,automatic,Florida,26122.0,red,black,fields bmw,20000.0
2014,Ford,Transit Connect,Wagon XLT LWB,automatic,Florida,10160.0,—,tan,ford motor credit company,21100.0
2013,BMW,3 Series,328i,automatic,Florida,17547.0,brown,tan,financial services remarketing (lease),23000.0
2006,Volkswagen,Jetta,2.5,automatic,Florida,125324.0,gray,gray,veterans ford,3800.0
2003,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Florida,66604.0,silver,blue,tdaf remarketing,23400.0
2010,Ford,Focus,SE,automatic,Florida,85484.0,silver,black,germain toyota of naples/germain scion of naples,5600.0
2013,Lexus,CT 200h,Base,automatic,Florida,20072.0,red,beige,lexus financial services,18400.0
2013,Toyota,Camry,SE,automatic,Florida,50149.0,red,black,the hertz corporation,12600.0
2013,Lincoln,MKX,Base,automatic,Florida,21670.0,—,gray,ford motor credit company llc pd,24800.0
2001,Oldsmobile,Silhouette,GLS,automatic,Florida,170681.0,silver,gray,autonation ford sanford,1000.0
2011,Ford,Taurus,SEL,automatic,Florida,66833.0,silver,beige,ari,11700.0
2014,Dodge,Charger,SE,automatic,Florida,24294.0,gray,black,santander consumer,16100.0
2013,Toyota,Corolla,LE,automatic,Florida,38577.0,red,gray,avis corporation,11500.0
2013,Kia,Forte,EX,automatic,Florida,17617.0,black,black,regional acceptance corporation / greenville,11400.0
2014,Dodge,Charger,SE,UNKNOWN,Florida,36900.0,white,gray,firkins chrysler jeep dodge,13400.0
2014,Honda,CR-V,LX,automatic,Florida,10271.0,—,black,warren henry infiniti inc,19700.0
2012,Kia,Soul,+,automatic,Florida,72306.0,black,black,coral springs honda,9400.0
2010,Honda,Civic,LX,automatic,Florida,73307.0,gray,gray,holman honda of fort lauderdale,8300.0
2013,Infiniti,G Coupe,G37 Sport,automatic,Florida,12445.0,silver,black,nissan infiniti lt,25600.0
2013,Ford,Fusion,Titanium,automatic,Florida,25810.0,white,black,ford motor credit company llc,19300.0
2013,Jaguar,XJ,XJL Portfolio,automatic,Florida,22132.0,blue,brown,palm beach motor cars,48200.0
2014,Ford,Fusion,SE,automatic,Florida,14386.0,—,black,avis budget group,17500.0
2011,Nissan,Murano,SV,automatic,Florida,33359.0,gray,black,nissan-infiniti lt,18200.0
2011,Volvo,XC90,3.2,automatic,Florida,19588.0,black,tan,onesource/kendall toyota,21800.0
2012,Lexus,ES 350,Base,automatic,Florida,20297.0,white,beige,lexus financial services,21000.0
2010,Nissan,Versa,1.8 S,automatic,Florida,74068.0,gray,gray,remarketing by ge/west financial acceptance,6600.0
2007,Chevrolet,Tahoe,LS,automatic,Florida,94429.0,blue,gray,santander consumer,12600.0
2011,Lexus,ES 350,Base,automatic,Florida,15516.0,black,beige,lexus financial services,21000.0
2002,Hyundai,Accent,GL,UNKNOWN,Florida,39469.0,silver,gray,courtesy kia of brandon,1200.0
2008,Porsche,Cayman,Base,manual,Florida,69687.0,black,tan,d&a fine cars,19500.0
2012,Lexus,CT 200h,Base,automatic,Florida,46730.0,black,black,lexus financial services,17300.0
2002,Toyota,Camry,LE,UNKNOWN,Florida,204758.0,red,gray,autonation nissan brandon,2400.0
2008,Dodge,Charger,RT,automatic,Florida,105646.0,orange,black,gm financial,9400.0
2012,Nissan,Altima,2.5 S,automatic,Florida,30460.0,black,black,nissan-infiniti lt,11800.0
2003,Chevrolet,Silverado 1500HD,LS,automatic,Florida,87455.0,gray,gray,transfleet us llc,10900.0
2010,Volkswagen,CC,Sport PZEV,automatic,Florida,104245.0,blue,beige,autonation toyota scion weston,7700.0
2005,Cadillac,DeVille,Base,automatic,Florida,124993.0,white,gray,credit acceptance corp/vrs/southfield,1700.0
2014,GMC,Yukon,SLT,automatic,Florida,24193.0,silver,gray,enterprise veh exchange/rental,31200.0
2008,Ford,Mustang,Premium,automatic,Florida,112975.0,silver,—,credit acceptance corp/vrs/southfield,6800.0
2012,Toyota,Corolla,LE,automatic,Florida,56631.0,gold,beige,the hertz corporation,8200.0
2012,Buick,Verano,Base,automatic,Florida,20038.0,white,beige,capital one auto finance,14500.0
2004,BMW,3 Series,325Ci,automatic,Florida,59284.0,white,beige,coggin bmw treasure coast,6900.0
2013,Hyundai,Elantra,GLS,automatic,Florida,55948.0,black,gray,hyundai motor finance,10400.0
2014,Ford,Mustang,V6,automatic,Florida,56110.0,white,black,the hertz corporation,14700.0
2007,MINI,Cooper,S,automatic,Florida,61489.0,black,black,braman motors,8600.0
2008,HUMMER,H3,Alpha,automatic,Florida,115081.0,white,black,r & b car sales inc,16100.0
2005,Dodge,Magnum,RT,automatic,Florida,129294.0,red,beige,wells fargo dealer services,6200.0
2013,Nissan,Murano,SV,automatic,Florida,51722.0,gray,black,the hertz corporation,15800.0
2012,GMC,Acadia,Denali,automatic,Florida,30402.0,burgundy,tan,cire leasing,30400.0
2013,Chevrolet,Volt,Base,automatic,Florida,41678.0,gray,black,ge fleet services for itself/servicer,15900.0
2009,Chevrolet,Traverse,LTZ,automatic,Florida,154902.0,white,gray,westfall auto sales,10600.0
2012,Volkswagen,Passat,SE PZEV,automatic,Florida,14960.0,silver,tan,vw credit,13000.0
2009,Chevrolet,Aveo,2LT,automatic,Florida,87943.0,silver,black,westlake financial services,2500.0
2008,Lexus,IS 250,Base,automatic,Florida,101700.0,blue,beige,remarketing by ge/marcar leasing 2011 inc,11000.0
2006,Toyota,Matrix,Base,automatic,Florida,227894.0,red,gray,westlake financial services,2600.0
